canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
fin_roe_cash_gap,daily,,,,,[],OK
fin_seasonal_percentile,daily,,,,,"['x', 'period_end', 'fiscal_quarter']",OK
fin_seasonal_zscore,daily,,,,,"['x', 'period_end', 'fiscal_quarter']",OK
fin_sign_change_count,daily,,,,,[],OK
fin_stability,daily,,,,,[],OK
fin_staleness,daily,,,,,[],OK
fin_std,daily,,,,,[],OK
fin_surprise,daily,,,,,[],OK
fin_surprise_event_percentile,daily,,,,,[],OK
fin_surprise_event_zscore,daily,,,,,[],OK
fin_surprise_zscore,daily,,,,,[],OK
fin_total_operating_accruals,daily,,,,,[],OK
fin_trend_acceleration,daily,,,,,[],OK
fin_trend_r2,daily,,,,,[],OK
fin_trend_slope,daily,,,,,[],OK
fin_trend_tstat,daily,,,,,[],OK
fin_ttm,extended,,,,,[],OK
fin_ttm_cumulative,daily,,,,,[],OK
fin_ttm_quarterly,daily,,,,,[],OK
fin_turnover,daily,,,,,[],OK
fin_working_capital_accruals,daily,,,,,[],OK
fin_working_capital_change,daily,,,,,[],OK
fin_yoy,daily,,,,,[],OK
fin_zscore_history,daily,,,,,[],OK
fin_zscore_vs_prior_history,extended,,,,,[],OK
fiscal_acceleration,extended,,,,,[],OK
fiscal_accrual_quality,daily,,,,,"['accrual', 'cashflow', 'period_id']",OK
fiscal_ar_resid_std,daily,,,,,"['x', 'period_id']",OK
fiscal_asymmetric_elasticity,daily,,,,,"['cost', 'activity', 'period_id']",OK
fiscal_asymmetric_timeliness,extended,,,,,[],OK
fiscal_autocorr,daily,,,,,"['x', 'period_id']",OK
fiscal_change_direction_agreement,daily,,,,,"['x', 'y', 'period_id']",OK
fiscal_direction_consistency,daily,,,,,"['signal', 'period_id']",OK
fiscal_pair_direction_agreement,daily,,,,,['period_id'],OK
fiscal_pct_change,extended,,,,,[],OK
fiscal_perpetual_inventory,daily,,,,,"['flow', 'period_id']",OK
fiscal_regression_resid_std,daily,,,,,"['y', 'period_id', 'x1']",OK
fiscal_reversal_ratio,daily,,,,,"['x', 'period_id']",OK
fiscal_rolling_std,extended,,,,,[],OK
fiscal_sign_agreement,daily,,,,,['period_id'],OK
fiscal_sign_consistency,daily,,,,,"['signal', 'period_id']",OK
fiscal_standardized_surprise,daily,,,,,"['x', 'period_id']",OK
fiscal_true_streak,daily,,,,,"['condition', 'period_id']",OK
fix,daily,,,,,['x'],OK
flex_max,daily,,,,,"['x', 'y_or_window']",OK
flex_min,daily,,,,,"['x', 'y_or_window']",OK
float_share_ratio,daily,,,,,[],OK
floor,daily,,,,,['x'],OK
free_float_ratio,daily,,,,,[],OK
free_float_share_ratio,daily,,,,,[],OK
free_float_turnover,daily,,,,,[],OK
free_to_circulating_ratio,daily,,,,,[],OK
fundamental_staleness,daily,,,,,"['available_at', 'decision_time']",OK
garman_klass_vol,daily,,,,,[],OK
ge,daily,,,,,"['x', 'y']",OK
group_corr_mst_length,daily,,,,,"['x', 'group_id']",OK
group_count,daily,,,,,"['x', 'group']",OK
group_current_members_tail_coexceedance,daily,,,,,"['x', 'group_id']",OK
group_decay_linear,daily,,,,,"['x', 'group']",OK
group_distribution_js_divergence,daily,,,,,[],OK
group_ex_self_mad,daily,,,,,"['x', 'group']",OK
group_ex_self_mean,daily,,,,,"['x', 'group']",OK
