canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
fin_expectation_revision_magnitude,daily,False,False,False,False,False,False
fin_expectation_revision_pct,daily,False,False,False,False,False,False
fin_expectation_revision_speed,daily,False,False,False,False,False,False
fin_expense_sales_divergence,daily,False,False,False,False,False,False
fin_fair_value_income_dependence,daily,False,False,False,False,False,False
fin_financing_gap,daily,False,False,False,False,False,False
fin_fundamental_strength_score,daily,False,False,False,False,False,False
fin_goodwill_intensity,daily,False,False,False,False,False,False
fin_goodwill_risk_score,daily,False,False,False,False,False,False
fin_growth,daily,False,False,False,False,False,False
fin_growth_acceleration,daily,False,False,False,False,False,False
fin_growth_change,daily,False,False,False,False,False,False
fin_growth_persistence,daily,False,False,False,False,False,False
fin_growth_stability,daily,False,False,False,False,False,False
fin_growth_volatility,daily,False,False,False,False,False,False
fin_impairment_intensity,daily,False,False,False,False,False,False
fin_interest_coverage_proxy,daily,False,False,False,False,False,False
fin_inventory_sales_divergence,daily,False,False,False,False,False,False
fin_investment_income_dependence,daily,False,False,False,False,False,False
fin_lag,daily,False,False,False,False,False,False
fin_lease_asset_liability_gap,daily,False,False,False,False,False,False
fin_lease_intensity,daily,False,False,False,False,False,False
fin_log_change,daily,False,False,False,False,False,False
fin_margin_persistence,daily,False,False,False,False,False,False
fin_mean_abs_deviation,extended,False,False,False,False,False,False
fin_minority_profit_share,daily,False,False,False,False,False,False
fin_miss_streak,daily,False,False,False,False,False,False
fin_monotonicity,daily,False,False,False,False,False,False
fin_negative_streak,daily,False,False,False,False,False,False
fin_net_borrowing_cashflow,daily,False,False,False,False,False,False
fin_net_debt_issuance,daily,False,False,False,False,False,False
fin_noncore_income_ratio,daily,False,False,False,False,False,False
fin_oci_to_equity,daily,False,False,False,False,False,False
fin_other_earnings_dependence,daily,False,False,False,False,False,False
fin_pct_change,daily,False,False,False,False,False,False
fin_percentile_history,daily,False,False,False,False,False,False
fin_positive_streak,daily,False,False,False,False,False,False
fin_qoq,daily,False,False,False,False,False,False
fin_quarter_from_cumulative,daily,False,False,False,False,False,False
fin_range,daily,False,False,False,False,False,False
fin_ratio,daily,False,False,False,False,False,False
fin_rd_capitalization_ratio,daily,False,False,False,False,False,False
fin_rd_total_intensity,daily,False,False,False,False,False,False
fin_receivable_sales_divergence,daily,False,False,False,False,False,False
fin_restated_flag,daily,False,False,False,False,False,False
fin_revision_count,daily,False,False,False,False,False,False
fin_revision_delta,daily,False,False,False,False,False,False
fin_revision_direction,daily,False,False,False,False,False,False
fin_revision_magnitude,daily,False,False,False,False,False,False
fin_revision_pct,daily,False,False,False,False,False,False
fin_roe_cash_gap,daily,False,False,False,False,False,False
fin_seasonal_percentile,daily,False,False,False,False,False,False
fin_seasonal_zscore,daily,False,False,False,False,False,False
fin_sign_change_count,daily,False,False,False,False,False,False
fin_stability,daily,False,False,False,False,False,False
fin_staleness,daily,False,False,False,False,False,False
fin_std,daily,False,False,False,False,False,False
fin_surprise,daily,False,False,False,False,False,False
fin_surprise_event_percentile,daily,False,False,False,False,False,False
fin_surprise_event_zscore,daily,False,False,False,False,False,False
fin_surprise_zscore,daily,False,False,False,False,False,False
fin_total_operating_accruals,daily,False,False,False,False,False,False
fin_trend_acceleration,daily,False,False,False,False,False,False
fin_trend_r2,daily,False,False,False,False,False,False
fin_trend_slope,daily,False,False,False,False,False,False
fin_trend_tstat,daily,False,False,False,False,False,False
fin_ttm,extended,False,False,False,False,False,False
fin_ttm_cumulative,daily,False,False,False,False,False,False
fin_ttm_quarterly,daily,False,False,False,False,False,False
fin_turnover,daily,False,False,False,False,False,False
fin_working_capital_accruals,daily,False,False,False,False,False,False
fin_working_capital_change,daily,False,False,False,False,False,False
fin_yoy,daily,False,False,False,False,False,False
fin_zscore_history,daily,False,False,False,False,False,False
fiscal_accrual_quality,daily,False,False,False,False,False,False
fiscal_ar_resid_std,daily,False,False,False,False,False,False
fiscal_asymmetric_elasticity,daily,False,False,False,False,False,False
fiscal_asymmetric_timeliness,extended,False,False,False,False,False,False
fiscal_autocorr,daily,False,False,False,False,False,False
fiscal_change_direction_agreement,daily,False,False,False,False,False,False
fiscal_direction_consistency,daily,False,False,False,False,False,False
fiscal_pair_direction_agreement,daily,False,False,False,False,False,False
fiscal_perpetual_inventory,daily,False,False,False,False,False,False
fiscal_regression_resid_std,daily,False,False,False,False,False,False
